species,model,parameter,perturbation,endpoint,baseline,perturbed,abs_change,pct_change,elasticity,censored
Mtb,two-compartment mechanistic,Emax_P,+10%,time_to_LOD_h,379.50713925049206,372.25039276242654,-7.256746488065517,-1.9121501910075351,-0.19121501910075334,False
Mtb,two-compartment mechanistic,Emax_P,+10%,MDK99_h,31.2698648908004,31.173062585713996,-0.09680230508640264,-0.30957058952589817,-0.030957058952589787,False
Mtb,two-compartment mechanistic,Emax_P,-10%,log10_drop_240h,3.247547494619534,3.222334402066723,-0.025213092552811123,-0.7763733277060189,0.0776373327706019,False
Mtb,two-compartment mechanistic,Emax_P,-10%,time_to_LOD_h,379.50713925049206,387.05293526575525,7.545796015263193,1.9883146415020727,-0.1988314641502073,False
Mtb,two-compartment mechanistic,Emax_P,-10%,MDK99_h,31.2698648908004,31.368303281283833,0.09843839048343384,0.3148027368432744,-0.03148027368432745,False
Mtb,two-compartment mechanistic,EC50,+10%,log10_drop_240h,3.247547494619534,3.232181575308826,-0.015365919310708076,-0.4731545677520035,-0.047315456775200306,False
Mtb,two-compartment mechanistic,EC50,+10%,time_to_LOD_h,379.50713925049206,383.96138503429694,4.454245783804879,1.1736922242363597,0.11736922242363586,False
Mtb,two-compartment mechanistic,EC50,+10%,MDK99_h,31.2698648908004,31.83839871234812,0.5685338215477209,1.8181524721425442,0.18181524721425424,False
Mtb,two-compartment mechanistic,EC50,-10%,log10_drop_240h,3.247547494619534,3.263874258863138,0.016326764243603797,0.5027413539187224,-0.05027413539187226,False
Mtb,two-compartment mechanistic,EC50,-10%,time_to_LOD_h,379.50713925049206,374.87048941389355,-4.636649836598508,-1.2217556290918963,0.12217556290918966,False
Mtb,two-compartment mechanistic,EC50,-10%,MDK99_h,31.2698648908004,30.69287151321376,-0.5769933775866392,-1.8452058542676681,0.18452058542676686,False
Mtb,two-compartment mechanistic,H,+10%,log10_drop_240h,3.247547494619534,3.2529997530328445,0.005452258413310318,0.16788848884715316,0.0167888488847153,False
Mtb,two-compartment mechanistic,H,+10%,time_to_LOD_h,379.50713925049206,378.0388692901373,-1.4682699603547462,-0.38688862698459564,-0.03868886269845953,False
Mtb,two-compartment mechanistic,H,+10%,MDK99_h,31.2698648908004,30.585479338031963,-0.6843855527684362,-2.188642500242406,-0.21886425002424043,False
Mtb,two-compartment mechanistic,H,-10%,log10_drop_240h,3.247547494619534,3.241768737401216,-0.005778757218318109,-0.17794219262049987,0.017794219262049993,False
Mtb,two-compartment mechanistic,H,-10%,time_to_LOD_h,379.50713925049206,381.05061077469276,1.5434715242006973,0.40670421306144006,-0.04067042130614402,False
Mtb,two-compartment mechanistic,H,-10%,MDK99_h,31.2698648908004,32.061857611993545,0.7919927211931466,2.532766687540601,-0.25327666875406013,False
Mtb,two-compartment mechanistic,k_SP,+10%,log10_drop_240h,3.247547494619534,3.2065344313586195,-0.041013063260914695,-1.262893408914396,-0.12628934089143948,False
Mtb,two-compartment mechanistic,k_SP,+10%,time_to_LOD_h,379.50713925049206,387.11774052260256,7.6106012721105,2.0053908042786923,0.20053908042786908,False
Mtb,two-compartment mechanistic,k_SP,+10%,MDK99_h,31.2698648908004,32.72495835293831,1.45509346213791,4.653341059257339,0.46533410592573343,False
Mtb,two-compartment mechanistic,k_SP,-10%,log10_drop_240h,3.247547494619534,3.2929249361076613,0.04537744148812717,1.3972833827159579,-0.1397283382715958,False
